Fixed on A drive,B drive,New mooring name,Mooring site,Old B drive name,Old wave name ,New wave name ,# files,size GB
,B06,BF12_AU_OK01,OK01,BF12_AU_O01,AU-BFO01-YYMMDD-HHMMSS,AU-BFOK01-YYMMDD-HHMMSS,2376,43.5
,B16,XA06_HA_PM02,M2,BS06_HA_02a,HA-BS02a-YYMMDD-HHMMSS,HA-XAPM02-YYMMDD-HHMMSS,20300,44.6
,B11,XA06_HA_PM04,M4,BS06_HA_04a,HA-BS04a-YYMMDD-HHMMSS,HA-XAPM04-YYMMDD-HHMMSS,20300,44.6
,B12,XA06_HA_PM05,M5,BS06_HA_05a,HA-BS05a-YYMMDD-HHMMSS,HA-XAPM05-YYMMDD-HHMMSS,20300,44.6
,B03,XA07_HA_PM02-b,M2,BS07_HA_02b,HA-BS02b-YYMMDD-HHMMSS,HA-XAPM02_b-YYMMDD-HHMMSS,19050,41.8
,B13,XA07_HA_PM04,M4,BS07_HA_04b,HA-BS04b-YYMMDD-HHMMSS,HA-XAPM04-YYMMDD-HHMMSS,43634,95.8
,B11,BS08_AU_PM05,M5,BS08_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,11703,96.4
,B06,BS08_AU_PM08,M8,BS08_AU_08b,AU-BS08b-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,13156,108
,B13,BS08_HA_PM04,M4,BS08_HA_04a,HA-BS04a-YYMMDD-HHMMSS,HA-BSPM04-YYMMDD-HHMMSS,59301,130
,B13,BS09_AU_PM02-a,M2,BS09_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,22861,223
,B01,BS09_AU_PM02-b,M2,BS09_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,20562,163
,B13,BS09_AU_PM04,M4,BS09_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,23771,195
,B13,BS09_AU_PM05,M5,BS09_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,21670,178
,B13,BS09_AU_PM08,M8,BS09_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,15764,129
,B13,BS10_AU_PM02-a,M2,BS10_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,126,1.11
,B04,BS10_AU_PM02-b,M2,BS10_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,21730,179
,B06,BS10_AU_PM04,M4,BS10_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,18065,132
,B05,BS10_AU_PM05,M5,BS10_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,17935,131
,B05,BS10_AU_PM08,M8,BS10_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,8215,60.1
,B06,BS11_AU_PM02-a,M2,BS11_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,19070,174
,B07,BS11_AU_PM04,M4,BS11_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,21336,117
,B06,BS11_AU_PM05,M5,BS11_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,20682,113
,B06,BS11_AU_PM08,M8,BS11_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,18234,100
,B07,BS12_AU_PM02-a,M2,BS12_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,17472,159
,B07,BS12_AU_PM02-b,M2,BS12_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,16856,297
,B10,BS12_AU_PM04,M4,BS12_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,17226,297
,B09,BS12_AU_PM05,M5,BS12_AU_05b,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16146,279
,B09,BS12_AU_PM05,M5,BS12_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16146,279
,B09,BS12_AU_PM08,M8,BS12_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16038,277
,B09,BS13_AU_PM02-a,M2,BS13_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,6972,127
,B12,BS13_AU_PM04,M4,BS13_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,15168,277
,B12,BS13_AU_PM05,M5,BS13_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16240,297
,B12,BS13_AU_PM05,M5,BS13_AU_05a,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,16240,297
,B14,BS13_AU_PM08,M8,BS13_AU_08b,AU-BS08b-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16208,296
,B14,BS13_AU_PM08,M8,BS13_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,16208,296
,B04,BS13_AU_PM02-b,M2,BS13_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,6120,108
,B04,BS13_AU_PM02-b,M2,BS13_AU_M2b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,6120,108
,B15,BS14_AU_PM02-a,M2,BS14_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,19344,347
,B15,BS14_AU_PM02-b,M2,BS14_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,22916,407
A17,B16,BS14_AU_PM04,M4,BS14_AU_04b,AU-BS04b-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,13168,241
A17,B12,BS14_AU_PM05,M5,BS14_AU_05b,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,13168,241
A17,B12,BS14_AU_PM05,M5,BS14_AU_05a,AU-BS05b-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,13168,241
A17,B12,BS14_AU_PM08,M8,BS14_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,13168,241
,B15,BS15_AU_PM02-a,M2,BS15_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,12186,223
,B15,BS15_AU_PM02-b,M2,BS15_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,22355,397
A19,B18,BS15_AU_PM04,M4,BS15_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,14096,258
A18,B18,BS15_AU_PM05,M5,BS15_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,14096,258
A18,B17,BS15_AU_PM08,PM08,BS15_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,14096,258
,B21,BS16_AC_SD52,SD52,BS16_AC_SD052,AC-BSSD052-YYMMDD-HHMMSS,AC-BSSD52-YYMMDD-HHMMSS,15794,140
,B21,BS16_AC_SD53,SD53,BS16_AC_SD053,AC-BSSD53-YYMMDD-HHMMSS,AC-BSSD53-YYMMDD-HHMMSS,15111,134
A19,B19,BS16_AU_PM02-a,M2,BS16_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,9824,179
,B19,BS16_AU_PM02-b,M2,BS16_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,11934,218
A20,B21,BS16_AU_PM04,PM04,BS16_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,144,2.61
A20,B21,BS16_AU_PM05,PM05,BS16_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,14016,256
A20,B21,BS16_AU_PM08,PM08,BS16_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,14128,258
,B20,BS17_AC_SD52,SD52,BS17_AC_SD052,AC-BSSD52-YYMMDD-HHMMSS,AC-BSSD52-YYMMDD-HHMMSS,11915,105
A20,B21,BS17_AU_PM02-a,PM02,BS17_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,12762,233
A20,B20,BS17_AU_PM02-b,M2,BS17_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,8112,148
A21,B22,BS17_AU_PM04,PM04,BS17_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,14432,264
A21,B22,BS17_AU_PM05,PM05,BS17_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,14448,264
A21,B22,BS17_AU_PM08,PM08,BS17_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,14448,264
A20,B20,XA17_HA_BG01,BG01,BS17_HA_BG1,HA-BG1-YYMMDD-HHMMSS,HA-XABG01-YYMMDD-HHMMSS,32279,72.1
A21,B22,BS18_AU_PM02-a,PM02,BS18_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,13140,240
A21,B16,BS18_AU_PM02-b,M2,BS18_AU_02b,AU-BS02b-YYMMDD-HHMMSS,AU-BSPM02_b-YYMMDD-HHMMSS,12792,234
A22,B22,BS18_AU_PM04,PM04,BS18_AU_04a,AU-BS04a-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,13632,249
A22,B16,BS18_AU_PM05,M5,BS18_AU_05a,AU-BS05a-YYMMDD-HHMMSS,AU-BSPM05-YYMMDD-HHMMSS,13328,244
A22,B21,BS18_AU_PM08,PM08,BS18_AU_08a,AU-BS08a-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,13280,243
A22,B21,BS19_AU_PM02-a,PM02,BS19_AU_02a,AU-BS02a-YYMMDD-HHMMSS,AU-BSPM02_a-YYMMDD-HHMMSS,17088,312
A23,B23,BS19_AU_PM04,PM04,BS19_AU_PM04,AU-BSPM04-YYMMDD-HHMMSS,AU-BSPM04-YYMMDD-HHMMSS,12976,237
A23,B23,BS19_AU_PM08,PM08,BS19_AU_PM08,AU-BSPM08-YYMMDD-HHMMSS,AU-BSPM08-YYMMDD-HHMMSS,13440,246
,B11,CX12_AU_IC02,IC02,CX12_AU_IC2,AU-CXIC02-YYMMDD-HHMMSS,AU-CXIC02-YYMMDD-HHMMSS,14634,253
,B08,CX12_AU_IC03,IC03,CX12_AU_IC3,AU-CXIC03-YYMMDD-HHMMSS,AU-CXIC03-YYMMDD-HHMMSS,15714,271
,B08,CX12_AU_WT02,WT02,CX12_AU_WT2,AU-CXWT02-YYMMDD-HHMMSS,AU-CXWT02-YYMMDD-HHMMSS,17226,297
,B14,CX13_AU_HS01,HS01,CX13_AU_HS1,AU-CXHS01-YYMMDD-HHMMSS,AU-CXHS01-YYMMDD-HHMMSS,15344,280
,B16,CX13_AU_HS03,HS03,CX13_AU_HS3,AU-HS03-YYMMDD-HHMMSS,AU-CXHS03-YYMMDD-HHMMSS,15360,281
,B11,CX13_AU_IC02,IC02,CX13_AU_IC2,AU-CXIC02-YYMMDD-HHMMSS,AU-CXIC02-YYMMDD-HHMMSS,15152,277
,B15,CX13_AU_IC03,IC03,CX13_AU_IC3,AU-CXIC03-YYMMDD-HHMMSS,AU-CXIC03-YYMMDD-HHMMSS,15152,277
,B14,CX13_AU_WT02,WT02,CX13_AU_WT2,AU-CXWT02-YYMMDD-HHMMSS,AU-CXWT02-YYMMDD-HHMMSS,2944,53.9
A17,B17,CX14_AU_HS01,HS01,CX14_AU_HS1,AU-CXHS01-YYMMDD-HHMMSS,AU-CXHS01-YYMMDD-HHMMSS,13360,244
A17,B17,CX14_AU_HS02,HS02,CX14_AU_HS2,AU-CXHS02-YYMMDD-HHMMSS,AU-CXHS02-YYMMDD-HHMMSS,13360,244
,B15,CX14_AU_IC02,IC02,CX14_AU_IC2,AU-CXIC02-YYMMDD-HHMMSS,AU-CXIC02-YYMMDD-HHMMSS,13504,247
A17,B17,CX14_AU_IC03,IC03,CX14_AU_IC3,AU-CXIC03-YYMMDD-HHMMSS,AU-CXIC03-YYMMDD-HHMMSS,13696,250
A17,B14,CX14_AU_WT02,WT02,CX14_AU_WT2,AU-CXWT02-YYMMDD-HHMMSS,AU-CXWT02-YYMMDD-HHMMSS,13296,243
A18,B17,CX15_AU_IC02,IC02,CX15_AU_IC2,AU-CXIC02-YYMMDD-HHMMSS,AU-CXIC02-YYMMDD-HHMMSS,14096,258
A18,B18,CX15_AU_IC03,IC03,CX15_AU_IC3,AU-CXIC03-YYMMDD-HHMMSS,AU-CXIC03-YYMMDD-HHMMSS,13920,254
,B10,CZ10_AU_IC01-01,IC01u,CZ10_AU_A01,AU-CZA01-YYMMDD-HHMMSS,AU-CZIC01_01-YYMMDD-HHMMSS,14460,251
,B09,CZ10_AU_IC01-02,IC01u,CZ10_AU_A02,AU-CZA02-YYMMDD-HHMMSS,AU-CZIC01_02-YYMMDD-HHMMSS,14420,250
,B04,CZ10_AU_IC01-03,IC01,CZ10_AU_A03,AU-CZA03-YYMMDD-HHMMSS,AU-CZIC01_03-YYMMDD-HHMMSS,13940,242
,B10,CZ10_AU_IC01-04,IC01u,CZ10_AU_A04,AU-CZA04-YYMMDD-HHMMSS,AU-CZIC01_04-YYMMDD-HHMMSS,13120,228
,B10,CZ10_AU_IC01-05,IC01u,CZ10_AU_A05,AU-CZA05-YYMMDD-HHMMSS,AU-CZIC01_05-YYMMDD-HHMMSS,13031,226
,B09,CZ10_AU_IC02-01,IC02u,CZ10_AU_B01,AU-CZB01-YYMMDD-HHMMSS,AU-CZIC02_01-YYMMDD-HHMMSS,13000,226
,B10,CZ10_AU_IC02-02,IC02u,CZ10_AU_B02,AU-CZB02-YYMMDD-HHMMSS,AU-CZIC02_02-YYMMDD-HHMMSS,13190,229
,B13,CZ10_AU_IC02-03,IC02,CZ10_AU_B03,AU-CZB03-YYMMDD-HHMMSS,AU-CZIC02_03-YYMMDD-HHMMSS,13650,237
,B09,CZ10_AU_IC02-04,IC02u,CZ10_AU_B04,AU-CZB04-YYMMDD-HHMMSS,AU-CZIC02_04-YYMMDD-HHMMSS,13860,241
,B10,CZ10_AU_IC02-05,IC02u,CZ10_AU_B05,AU-CZB05-YYMMDD-HHMMSS,AU-CZIC02_05-YYMMDD-HHMMSS,12920,224
,B05,CZ10_AU_IC03-01,IC03u,CZ10_AU_C01,AU-CZC01-YYMMDD-HHMMSS,AU-CZIC03_01-YYMMDD-HHMMSS,12510,217
,B03,CZ10_AU_IC03-02,IC03,CZ10_AU_C02,AU-CZC02-YYMMDD-HHMMSS,AU-CZIC03_02-YYMMDD-HHMMSS,13010,226
,B05,CZ10_AU_IC03-03,IC03u,CZ10_AU_C03,AU-CZC03-YYMMDD-HHMMSS,AU-CZIC03_03-YYMMDD-HHMMSS,12270,213
,B05,CZ10_AU_IC03-04,IC03u,CZ10_AU_C04,AU-CZC04-YYMMDD-HHMMSS,AU-CZIC03_04-YYMMDD-HHMMSS,12790,222
,B05,CZ10_AU_IC03-05,IC03u,CZ10_AU_C05,AU-CZC05-YYMMDD-HHMMSS,AU-CZIC03_05-YYMMDD-HHMMSS,12270,213
,B07,CZ11_AU_IC01-01,IC01u,CZ11_AU_A01,AU-CZA01-YYMMDD-HHMMSS,AU-CZIC01_01-YYMMDD-HHMMSS,10071,174
,B07,CZ11_AU_IC01-02,IC01u,CZ11_AU_A02,AU-CZA02-YYMMDD-HHMMSS,AU-CZIC01_02-YYMMDD-HHMMSS,10044,173
,B07,CZ11_AU_IC01-03,IC01,CZ11_AU_A03,AU-CZA03-YYMMDD-HHMMSS,AU-CZIC01_03-YYMMDD-HHMMSS,16020,277
,B07,CZ11_AU_IC01-04,IC01u,CZ11_AU_A04,AU-CZA04-YYMMDD-HHMMSS,AU-CZIC01_04-YYMMDD-HHMMSS,4302,74.3
,B07,CZ11_AU_IC01-05,IC01u,CZ11_AU_A05,AU-CZA05-YYMMDD-HHMMSS,AU-CZIC01_05-YYMMDD-HHMMSS,16992,293
,B08,CZ11_AU_IC02-01,IC02u,CZ11_AU_B01,AU-CZB01-YYMMDD-HHMMSS,AU-CZIC02_01-YYMMDD-HHMMSS,10944,189
,B05,CZ11_AU_IC02-02,IC02u,CZ11_AU_B02,AU-CZB02-YYMMDD-HHMMSS,AU-CZIC02_02-YYMMDD-HHMMSS,10755,185
,B06,CZ11_AU_IC02-03,IC02 ,CZ11_AU_B03,AU-CZB03-YYMMDD-HHMMSS,AU-CZIC02_03-YYMMDD-HHMMSS,11448,197
,B08,CZ11_AU_IC02-04,IC02u,CZ11_AU_B04,AU-CZB04-YYMMDD-HHMMSS,AU-CZIC02_04-YYMMDD-HHMMSS,11646,201
,B07,CZ11_AU_IC02-05,IC02u,CZ11_AU_B05,AU-CZB05-YYMMDD-HHMMSS,AU-CZIC02_05-YYMMDD-HHMMSS,10791,186
,B08,CZ11_AU_IC03-01,IC03u,CZ11_AU_C01,AU-CZC01-YYMMDD-HHMMSS,AU-CZIC03_01-YYMMDD-HHMMSS,11853,204
,B07,CZ11_AU_IC03-02,IC03,CZ11_AU_C02,AU-CZC02-YYMMDD-HHMMSS,AU-CZIC03_02-YYMMDD-HHMMSS,11232,194
,B08,CZ11_AU_IC03-03,IC03u,CZ11_AU_C03,AU-CZC03-YYMMDD-HHMMSS,AU-CZIC03_03-YYMMDD-HHMMSS,12159,210
,B06,CZ11_AU_IC03-04,IC03u,CZ11_AU_C04,AU-CZC04-YYMMDD-HHMMSS,AU-CZIC03_04-YYMMDD-HHMMSS,9549,165
,B06,CZ11_AU_IC03-05,IC03u,CZ11_AU_C05,AU-CZC05-YYMMDD-HHMMSS,AU-CZIC03_05-YYMMDD-HHMMSS,10989,190
A23,B23,GA19_AU_BT01,BT01,GA19_AU_BT01,AU-GABT01-YYMMDD-HHMMSS,AU-GABT01-YYMMDD-HHMMSS,13744,251
A23,B23,GA19_AU_SH01,SH01,GA19_AU_SH01,AU-GASH01-YYMMDD-HHMMSS,AU-GASH01-YYMMDD-HHMMSS,13696,250
,B04,IP08_AU_CH01,CH01,IP08_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,18028,148
,B12,IP08_AU_GR01,GR01,IP08_AU_GR,AU-IPGR-YYMMDD-HHMMSS,AU-IPGR01-YYMMDD-HHMMSS,16242,148
,B12,IP08_AU_NR01,NR01,IP08_AU_NR,AU-IPNR-YYMMDD-HHMMSS,AU-IPNR01-YYMMDD-HHMMSS,8046,66.2
,B04,IP09_AU_CH01,CH01,IP09_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,12474,102
,B12,IP10_AU_CH01,CH01,IP10_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,25200,138
,B09,IP10_AU_GR01,GR01,IP10_AU_GR,AU-IPGR-YYMMDD-HHMMSS,AU-IPGR01-YYMMDD-HHMMSS,28456,182
,B04,IP10_AU_NR01,NR01,IP10_AU_NR,AU-IPNR-YYMMDD-HHMMSS,AU-IPNR01-YYMMDD-HHMMSS,16354,217
,B08,IP11_AU_CH01,CH01,IP11_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,20530,169
,B19,IP13_AU_CH01,CH01,IP13_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,10175,74.5
,B15,IP14_AU_CH01,CH01,IP14_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,11462,83.9
,B19,IP15_AU_CH01,CH01,IP15_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,17902,131
,B22,IP16_AU_CH01,CH01,IP16_AU_CH,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,17339,126
,B16,IP17_AU_CH01,CH01,IP17_AU_CH1,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,18040,132
A22,B23,IP18_AU_CH01,CH01,IP18_AU_CH1,AU-IPCH-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,17138,125
A22,B23,IP19_AU_CH01,CH01,IP19_AU_CH01,AU-IPCH01-YYMMDD-HHMMSS,AU-IPCH01-YYMMDD-HHMMSS,17468,127
,B05,GA11_AU_CB01,CB01,KO11_AU_03A,AU-KO03A-YYMMDD-HHMMSS,AU-GACB01-YYMMDD-HHMMSS,27186,207
,B06,WA12_AU_PS01,PS01,PS12_AU_01,AU-PS1-YYMMDD-HHMMSS,AU-WAPS01-YYMMDD-HHMMSS,2032,18.6
,B06,WA12_AU_PS02,PS02,PS12_AU_02,AU-PS2-YYMMDD-HHMMSS,AU-WAPS02-YYMMDD-HHMMSS,2132,19.5
,B19,PS16_AC_SD52,SD52,PS16_AC_SD52,AC-PSSD77-YYMMDD-HHMMSS,AC-PSSD52-YYMMDD-HHMMSS,147,1.29
,B13,RW08_EA_BS07,BS07,RW08_EA_01,EA-RW01-YYMMDD-HHMMSS,EA-RWBS07-YYMMDD-HHMMSS,4631,13.8
,B13,RW08_EA_BS08,BS08,RW08_EA_02,EA-RW02-YYMMDD-HHMMSS,EA-RWBS08-YYMMDD-HHMMSS,5728,17.1
,B03,RW09_EA_UM01,UM01,RW09_EA_01,EA-RW01-YYMMDD-HHMMSS,EA-RWUM01-YYMMDD-HHMMSS,4542,13.5
,B03,RW09_EA_BS07,BS07,RW09_EA_02,EA-RW02-YYMMDD-HHMMSS,EA-RWBS07-YYMMDD-HHMMSS,5355,16
,B03,RW09_EA_UN01,UN01,RW09_EA_03,EA-RW03-YYMMDD-HHMMSS,EA-RWUN01-YYMMDD-HHMMSS,8694,15.6
,B03,RW10_EA_BS01,BS01,RW10_EA_01,EA-RW01-YYMMDD-HHMMSS,EA-RWBS01-YYMMDD-HHMMSS,756,1.36
,B03,RW10_EA_BS02,BS02,RW10_EA_02,EA-RW02-YYMMDD-HHMMSS,EA-RWBS02-YYMMDD-HHMMSS,7938,14.2
,B03,RW10_EA_BS03,BS03,RW10_EA_03,EA-RW03-YYMMDD-HHMMSS,EA-RWBS03-YYMMDD-HHMMSS,6975,12.5
,B03,RW10_EA_UN01,UN01,RW10_EA_04,EA-RW04-YYMMDD-HHMMSS,EA-RWUN01-YYMMDD-HHMMSS,7830,14.1
,B08,RW11_EA_BS01,BS01,RW11_EA_01,EA-RW01-YYMMDD-HHMMSS,EA-RWBS01-YYMMDD-HHMMSS,6327,11.3
,B08,RW11_EA_BS02,BS02,RW11_EA_02,EA-RW02-YYMMDD-HHMMSS,EA-RWBS02-YYMMDD-HHMMSS,2160,3.88
,B08,RW11_EA_BS03,BS03,RW11_EA_03,EA-RW03-YYMMDD-HHMMSS,EA-RWBS03-YYMMDD-HHMMSS,6615,11.9
,B08,RW11_EA_UN01,UN01,RW11_EA_04,EA-RW04-YYMMDD-HHMMSS,EA-RWUN01-YYMMDD-HHMMSS,8046,14.4
A20,B20,XC17_AU_DM01,DM01,SC17_AU_DM1,AU-SC01-YYMMDD-HHMMSS,AU-XCDM01-YYMMDD-HHMMSS,8128,7.42
,B19,SF16_AC_SD52,SD52,SF16_AC_SD52,AC-SFSD77-YYMMDD-HHMMSS,AC-SFSD52-YYMMDD-HHMMSS,894,7.93
,B19,SF16_AC_SD53,SD53,SF16_AC_SD53,AC-SFSD78-YYMMDD-HHMMSS,AC-SFSD53-YYMMDD-HHMMSS,896,7.95
,B09,ST13_AU_NS01,NS01,ST13_AU_NS1,AU-STNS01-YYMMDD-HHMMSS,AU-STNS01-YYMMDD-HHMMSS,16080,294
A17,B14,ST14_AU_NS01,NS01,ST14_AU_NS1,AU-STNS01-YYMMDD-HHMMSS,AU-STNS01-YYMMDD-HHMMSS,13168,241
A21,,XC18_DB_MB01,MB01,SW18_DB_MB1,LF_201883689.YYMMDDHHMMSS,,,
